1982,1,0.056,259.12,45.72,50.68,48.20,
1982,2,0.056,260.63,46.97,44.53,45.75,
1982,3,0.055,261.81,46.34,40.64,43.49,
1982,4,0.053,263.17,43.47,37.35,40.41,
1982,5,0.050,263.99,38.42,38.13,38.28,
1982,6,0.048,264.80,32.99,40.34,36.67,
1982,7,0.048,266.11,28.87,41.10,34.99,
1982,8,0.052,267.99,27.73,40.66,34.20,
1982,9,0.054,269.88,26.33,41.23,33.78,
1982,10,0.060,272.16,25.07,41.71,33.39,
1982,11,0.071,274.93,26.83,39.79,33.31,
1982,12,0.086,277.90,28.99,39.71,34.35,
1982,13,0.100,280.59,29.03,40.66,34.84,
1982,14,0.113,282.75,26.37,43.57,34.97,
1982,15,0.124,284.31,21.96,51.80,36.88,
1982,16,0.146,285.94,20.49,60.68,40.58,
1982,17,0.175,287.76,20.66,68.92,44.79,
1982,18,0.215,289.80,24.37,72.47,48.42,
1982,19,0.261,291.88,29.22,71.23,50.22,
1982,20,0.304,293.51,33.51,68.77,51.14,
1982,21,0.338,294.33,36.65,69.83,53.24,
1982,22,0.359,294.54,36.84,72.48,54.66,
1982,23,0.369,294.54,34.64,75.79,55.22,
1982,24,0.370,294.50,31.54,80.27,55.91,
1982,25,0.368,294.43,29.72,84.91,57.32,
1982,26,0.367,294.51,30.06,86.31,58.18,
1982,27,0.363,294.67,30.49,85.87,58.18,
1982,28,0.361,294.98,33.95,83.93,58.94,
1982,29,0.364,295.41,40.44,81.36,60.90,
1982,30,0.364,295.78,46.07,78.62,62.35,
1982,31,0.360,296.10,48.55,74.51,61.53,
1982,32,0.353,296.42,49.80,69.58,59.69,
1982,33,0.348,296.56,51.93,64.37,58.15,
1982,34,0.341,296.46,54.18,58.86,56.52,
1982,35,0.331,296.05,57.10,52.82,54.96,
1982,36,0.318,295.41,58.99,44.22,51.61,
1982,37,0.298,294.38,57.75,37.77,47.76,
1982,38,0.277,292.82,55.63,36.65,46.14,
1982,39,0.252,291.04,50.82,36.19,43.51,
1982,40,0.221,288.98,43.83,36.09,39.96,
1982,41,0.192,286.77,37.93,34.05,35.99,
1982,42,0.167,284.57,35.64,32.11,33.88,
1982,43,0.146,282.10,35.48,32.99,34.23,
1982,44,0.127,279.92,35.78,26.98,31.38,
1982,45,0.108,277.68,33.65,24.09,28.87,
1982,46,0.092,275.06,32.36,25.53,28.94,
1982,47,0.077,272.08,30.56,29.61,30.08,
1982,48,0.065,268.74,28.96,36.59,32.77,
1982,49,0.057,265.69,27.27,42.20,34.74,
1982,50,0.050,262.90,26.18,45.80,35.99,
1982,51,0.048,260.65,28.90,48.75,38.82,
1982,52,0.046,259.49,30.91,49.49,40.20,
1983,1,0.044,259.40,33.29,48.09,40.69,
1983,2,0.043,259.92,34.45,45.64,40.05,
1983,3,0.044,260.65,36.38,43.31,39.84,
1983,4,0.045,261.36,36.81,42.79,39.80,
1983,5,0.045,262.34,34.43,43.35,38.89,
1983,6,0.043,263.07,29.69,45.87,37.78,
1983,7,0.044,264.43,26.38,46.77,36.57,
1983,8,0.047,266.10,25.41,47.65,36.53,
1983,9,0.052,268.21,25.36,48.18,36.77,
1983,10,0.061,271.32,26.06,46.29,36.18,
1983,11,0.072,274.94,27.40,41.41,34.40,
1983,12,0.087,278.51,29.72,38.79,34.26,
1983,13,0.109,282.25,33.57,35.20,34.38,
1983,14,0.134,285.30,36.59,33.17,34.88,
1983,15,0.162,287.96,39.61,32.60,36.11,
1983,16,0.190,289.88,40.38,35.54,37.96,
